Quadrupole Term [T/m]	Sextupole Term [T/m²]
6.290270355974413e-05	-0.03291909816593434
6.291609117879737e-05	0.01232249144414662
6.29294786488411e-05	0.0123224914351879
6.294286595847178e-05	0.01232249142646187
6.295625325767537e-05	0.01232249143973027
6.296964040102691e-05	0.01232249145383948
6.298302743684765e-05	0.01232249147026043
6.299641441589409e-05	0.01232249150662088
6.300980124105468e-05	0.01232249154163683
6.30231879585335e-05	0.01232249158278354
6.303657456261406e-05	0.01232249162929948
6.304996106414335e-05	0.01232249168504247
6.306334745944544e-05	0.01232249174628433
6.307673373991543e-05	0.01232249181432092
6.309011991576272e-05	0.01232249189083823
6.310350598887109e-05	0.01232249197499783
6.311689195186175e-05	0.0123224920637271
6.313027785527765e-05	0.0123224921675329
6.31436636001396e-05	0.01232249227247896
6.31570492455886e-05	0.01232249238293538
6.317043477762397e-05	0.01232249250172253
6.318382020446371e-05	0.01232249262667564
6.319720556760475e-05	0.01232249276543646
6.321059077689222e-05	0.01232249290668885
6.322397592649043e-05	0.01232249306102795
6.323736087582124e-05	0.01232249320310141
6.32507457658358e-05	0.01232249336631692
6.326413059410787e-05	0.01232249354048658
6.327751526552518e-05	0.0123224937142624
6.32908998327155e-05	0.01232249389620474
6.330428428820373e-05	0.01232249408425762
6.331766863857631e-05	0.01232249427937844
6.333105288116326e-05	0.01232249448247414
6.334443706595052e-05	0.01232249469851761
6.335782109278824e-05	0.01232249491517663
6.337120501362697e-05	0.01232249513825612
6.338458882740062e-05	0.01232249536870111
6.339797258054001e-05	0.01232249561430569
6.341135613023452e-05	0.01232249584947493
6.342473966912105e-05	0.01232249610998454
6.343812304906623e-05	0.01232249636818044
6.345150632598331e-05	0.01232249663378265
6.346488949116567e-05	0.01232249690687685
6.347827255535433e-05	0.01232249718661596
6.34916555526103e-05	0.01232249748039566
6.350503834904971e-05	0.01232249776591122
6.351842113800557e-05	0.01232249807472472
6.35318037643381e-05	0.01232249838068278
6.354518628985301e-05	0.01232249869521296
6.355856870327529e-05	0.01232249901805796
6.357195101237476e-05	0.01232249934675948
6.358533325867453e-05	0.01232249968889314
6.359871530319931e-05	0.01232250002383877
6.36120973404387e-05	0.01232250038288462
6.362547921263489e-05	0.01232250073701346
6.363886098534198e-05	0.01232250110234942
6.365224264680126e-05	0.01232250147233853
6.366562424640891e-05	0.01232250185948027
6.367900564608908e-05	0.0123225022343672
6.369238703783219e-05	0.01232250263462061
6.37057682652101e-05	0.01232250303309712
6.371914938757984e-05	0.012322503438082
6.37325304548368e-05	0.0123225038603516
6.374591131539831e-05	0.01232250427073305
6.37592921169806e-05	0.01232250469682401
6.3772672863684e-05	0.01232250513990834
