"x' (mrad)"	"y' (mrad)"	"Power Density (kW/mm<sup>2</sup>)"
6.40000e+0	-2.10000e-1	1.37618e-4
6.80000e+0	-2.10000e-1	1.31416e-4
7.20000e+0	-2.10000e-1	1.24777e-4
7.60000e+0	-2.10000e-1	1.16625e-4
8.00000e+0	-2.10000e-1	1.19491e-4
8.40000e+0	-2.10000e-1	6.62683e-5
8.80000e+0	-2.10000e-1	5.77071e-5
9.20000e+0	-2.10000e-1	6.00217e-5
9.60000e+0	-2.10000e-1	5.22335e-5
1.00000e+1	-2.10000e-1	2.26186e-5
0.00000e+0	-2.05000e-1	1.77130e-4
4.00000e-1	-2.05000e-1	1.80327e-4
8.00000e-1	-2.05000e-1	1.86024e-4
1.20000e+0	-2.05000e-1	1.91624e-4
1.60000e+0	-2.05000e-1	1.96103e-4
2.00000e+0	-2.05000e-1	1.99054e-4
2.40000e+0	-2.05000e-1	1.99161e-4
2.80000e+0	-2.05000e-1	1.96669e-4
3.20000e+0	-2.05000e-1	1.93495e-4
3.60000e+0	-2.05000e-1	1.89061e-4
4.00000e+0	-2.05000e-1	1.89530e-4
4.40000e+0	-2.05000e-1	1.76120e-4
4.80000e+0	-2.05000e-1	1.71820e-4
5.20000e+0	-2.05000e-1	1.65714e-4
5.60000e+0	-2.05000e-1	1.59593e-4
6.00000e+0	-2.05000e-1	1.53444e-4
6.40000e+0	-2.05000e-1	1.47100e-4
6.80000e+0	-2.05000e-1	1.40471e-4
7.20000e+0	-2.05000e-1	1.33375e-4
7.60000e+0	-2.05000e-1	1.24547e-4
8.00000e+0	-2.05000e-1	1.29053e-4
8.40000e+0	-2.05000e-1	6.65110e-5
8.80000e+0	-2.05000e-1	5.77840e-5
9.20000e+0	-2.05000e-1	6.25571e-5
9.60000e+0	-2.05000e-1	5.58240e-5
1.00000e+1	-2.05000e-1	2.41754e-5
0.00000e+0	-2.00000e-1	1.89327e-4
4.00000e-1	-2.00000e-1	1.92757e-4
