"Energy (eV)"	"Flux Density (ph/s/mm<sup>2</sup>/0.1%B.W.)"
1.00000e+1	1.16044e+11
1.01036e+1	1.16354e+11
1.02083e+1	1.16659e+11
1.03141e+1	1.16960e+11
1.04210e+1	1.17255e+11
1.05290e+1	1.17546e+11
1.06381e+1	1.17832e+11
1.07483e+1	1.18112e+11
1.08597e+1	1.18387e+11
1.09722e+1	1.18657e+11
1.10859e+1	1.18922e+11
1.12008e+1	1.19181e+11
1.13168e+1	1.19434e+11
1.14341e+1	1.19682e+11
1.15526e+1	1.19924e+11
1.16723e+1	1.20160e+11
1.17933e+1	1.20390e+11
1.19155e+1	1.20614e+11
1.20389e+1	1.20832e+11
1.21637e+1	1.21043e+11
1.22897e+1	1.21249e+11
1.24171e+1	1.21448e+11
1.25458e+1	1.21640e+11
1.26758e+1	1.21826e+11
1.28071e+1	1.22005e+11
1.29398e+1	1.22177e+11
1.30739e+1	1.22343e+11
1.32094e+1	1.22501e+11
1.33463e+1	1.22653e+11
1.34846e+1	1.22797e+11
1.36243e+1	1.22935e+11
1.37655e+1	1.23065e+11
1.39081e+1	1.23187e+11
1.40522e+1	1.23302e+11
1.41978e+1	1.23410e+11
1.43450e+1	1.23510e+11
1.44936e+1	1.23603e+11
1.46438e+1	1.23687e+11
1.47955e+1	1.23764e+11
1.49488e+1	1.23833e+11
1.51038e+1	1.23894e+11
1.52603e+1	1.23947e+11
1.54184e+1	1.23993e+11
1.55782e+1	1.24029e+11
1.57396e+1	1.24058e+11
1.59027e+1	1.24079e+11
1.60675e+1	1.24091e+11
1.62340e+1	1.24095e+11
1.64022e+1	1.24090e+11
1.65722e+1	1.24077e+11
1.67439e+1	1.24056e+11
1.69174e+1	1.24026e+11
1.70927e+1	1.23987e+11
1.72698e+1	1.23940e+11
1.74488e+1	1.23884e+11
1.76296e+1	1.23820e+11
1.78123e+1	1.23747e+11
1.79968e+1	1.23665e+11
1.81833e+1	1.23574e+11
1.83717e+1	1.23474e+11
1.85621e+1	1.23366e+11
1.87545e+1	1.23249e+11
1.89488e+1	1.23123e+11
1.91451e+1	1.22989e+11
1.93435e+1	1.22845e+11
1.95440e+1	1.22693e+11
1.97465e+1	1.22532e+11
1.99511e+1	1.22362e+11
2.01579e+1	1.22184e+11
2.03667e+1	1.21996e+11
2.05778e+1	1.21800e+11
2.07910e+1	1.21595e+11
2.10065e+1	1.21382e+11
2.12241e+1	1.21160e+11
2.14441e+1	1.20929e+11
2.16663e+1	1.20690e+11
2.18908e+1	1.20442e+11
2.21176e+1	1.20186e+11
2.23468e+1	1.19921e+11
2.25784e+1	1.19648e+11
2.28123e+1	1.19367e+11
2.30487e+1	1.19077e+11
2.32876e+1	1.18780e+11
2.35289e+1	1.18474e+11
2.37727e+1	1.18161e+11
2.40190e+1	1.17839e+11
2.42679e+1	1.17510e+11
2.45194e+1	1.17173e+11
2.47735e+1	1.16829e+11
2.50302e+1	1.16477e+11
2.52895e+1	1.16117e+11
2.55516e+1	1.15751e+11
2.58164e+1	1.15377e+11
2.60839e+1	1.14997e+11
2.63542e+1	1.14609e+11
2.66273e+1	1.14215e+11
2.69032e+1	1.13815e+11
2.71820e+1	1.13408e+11
2.74636e+1	1.12994e+11
2.77482e+1	1.12575e+11
2.80357e+1	1.12150e+11
2.83263e+1	1.11719e+11
2.86198e+1	1.11282e+11
2.89164e+1	1.10839e+11
2.92160e+1	1.10392e+11
2.95187e+1	1.09939e+11
2.98246e+1	1.09482e+11
3.01337e+1	1.09020e+11
3.04459e+1	1.08553e+11
3.07614e+1	1.08082e+11
3.10802e+1	1.07607e+11
3.14022e+1	1.07129e+11
3.17276e+1	1.06646e+11
3.20564e+1	1.06160e+11
3.23886e+1	1.05671e+11
3.27242e+1	1.05180e+11
3.30633e+1	1.04685e+11
3.34059e+1	1.04188e+11
3.37521e+1	1.03688e+11
3.41018e+1	1.03187e+11
3.44552e+1	1.02684e+11
3.48122e+1	1.02180e+11
3.51729e+1	1.01674e+11
3.55374e+1	1.01167e+11
3.59057e+1	1.00660e+11
3.62777e+1	1.00152e+11
3.66537e+1	9.96433e+10
3.70335e+1	9.91352e+10
3.74172e+1	9.86274e+10
3.78049e+1	9.81202e+10
3.81967e+1	9.76139e+10
3.85925e+1	9.71084e+10
3.89924e+1	9.66046e+10
3.93965e+1	9.61024e+10
3.98047e+1	9.56021e+10
4.02172e+1	9.51041e+10
4.06339e+1	9.46084e+10
4.10550e+1	9.41156e+10
4.14804e+1	9.36258e+10
4.19102e+1	9.31393e+10
4.23445e+1	9.26563e+10
4.27833e+1	9.21772e+10
4.32266e+1	9.17022e+10
4.36745e+1	9.12316e+10
4.41271e+1	9.07656e+10
4.45844e+1	9.03046e+10
4.50464e+1	8.98487e+10
4.55131e+1	8.93982e+10
4.59848e+1	8.89534e+10
4.64613e+1	8.85146e+10
4.69427e+1	8.80820e+10
4.74291e+1	8.76558e+10
4.79206e+1	8.72364e+10
4.84172e+1	8.68238e+10
4.89189e+1	8.64184e+10
4.94258e+1	8.60205e+10
4.99380e+1	8.56302e+10
5.04554e+1	8.52477e+10
5.09783e+1	8.48733e+10
5.15065e+1	8.45072e+10
5.20403e+1	8.41497e+10
5.25795e+1	8.38008e+10
5.31244e+1	8.34609e+10
5.36748e+1	8.31300e+10
5.42310e+1	8.28085e+10
5.47930e+1	8.24964e+10
5.53608e+1	8.21940e+10
5.59344e+1	8.19014e+10
5.65140e+1	8.16188e+10
5.70997e+1	8.13464e+10
5.76913e+1	8.10842e+10
5.82892e+1	8.08324e+10
5.88932e+1	8.05913e+10
5.95034e+1	8.03608e+10
6.01200e+1	8.01411e+10
6.07430e+1	7.99323e+10
6.13724e+1	7.97346e+10
6.20084e+1	7.95480e+10
6.26509e+1	7.93726e+10
6.33001e+1	7.92085e+10
6.39561e+1	7.90558e+10
6.46188e+1	7.89145e+10
6.52884e+1	7.87847e+10
6.59649e+1	7.86665e+10
6.66485e+1	7.85598e+10
6.73391e+1	7.84648e+10
6.80369e+1	7.83814e+10
6.87419e+1	7.83097e+10
6.94542e+1	7.82497e+10
7.01739e+1	7.82014e+10
7.09011e+1	7.81647e+10
7.16358e+1	7.81398e+10
7.23781e+1	7.81264e+10
7.31281e+1	7.81247e+10
7.38859e+1	7.81346e+10
7.46515e+1	7.81561e+10
7.54251e+1	7.81890e+10
7.62067e+1	7.82334e+10
7.69963e+1	7.82892e+10
7.77942e+1	7.83563e+10
7.86003e+1	7.84347e+10
7.94148e+1	7.85242e+10
8.02377e+1	7.86248e+10
8.10691e+1	7.87363e+10
8.19092e+1	7.88587e+10
8.27580e+1	7.89920e+10
8.36155e+1	7.91358e+10
8.44820e+1	7.92903e+10
8.53574e+1	7.94551e+10
8.62419e+1	7.96303e+10
8.71356e+1	7.98156e+10
8.80385e+1	8.00110e+10
8.89508e+1	8.02163e+10
8.98725e+1	8.04313e+10
9.08038e+1	8.06560e+10
9.17447e+1	8.08901e+10
9.26954e+1	8.11335e+10
9.36559e+1	8.13861e+10
9.46264e+1	8.16476e+10
9.56070e+1	8.19181e+10
9.65977e+1	8.21971e+10
9.75986e+1	8.24847e+10
9.86100e+1	8.27806e+10
9.96318e+1	8.30847e+10
