"Energy (eV)"	"Flux Density (ph/s/mm<sup>2</sup>/0.1%B.W.)"
4.53456e+2	1.37262e+11
4.58155e+2	1.37616e+11
4.62902e+2	1.37964e+11
4.67699e+2	1.38305e+11
4.72545e+2	1.38640e+11
4.77442e+2	1.38969e+11
4.82389e+2	1.39291e+11
4.87388e+2	1.39606e+11
4.92438e+2	1.39914e+11
4.97541e+2	1.40216e+11
5.02697e+2	1.40510e+11
5.07906e+2	1.40797e+11
5.13169e+2	1.41076e+11
5.18486e+2	1.41348e+11
5.23859e+2	1.41612e+11
5.29288e+2	1.41868e+11
5.34772e+2	1.42117e+11
5.40314e+2	1.42357e+11
5.45913e+2	1.42589e+11
5.51569e+2	1.42813e+11
5.57285e+2	1.43028e+11
5.63060e+2	1.43234e+11
5.68894e+2	1.43432e+11
5.74789e+2	1.43621e+11
5.80745e+2	1.43801e+11
5.86763e+2	1.43972e+11
5.92843e+2	1.44133e+11
5.98987e+2	1.44285e+11
6.05194e+2	1.44428e+11
6.11465e+2	1.44561e+11
6.17801e+2	1.44684e+11
6.24203e+2	1.44797e+11
6.30671e+2	1.44900e+11
6.37206e+2	1.44992e+11
6.43809e+2	1.45075e+11
6.50480e+2	1.45147e+11
6.57221e+2	1.45209e+11
6.64031e+2	1.45259e+11
6.70912e+2	1.45300e+11
6.77864e+2	1.45329e+11
6.84888e+2	1.45347e+11
6.91985e+2	1.45354e+11
6.99156e+2	1.45349e+11
7.06401e+2	1.45334e+11
7.13721e+2	1.45307e+11
7.21116e+2	1.45268e+11
7.28589e+2	1.45217e+11
7.36139e+2	1.45155e+11
7.43767e+2	1.45081e+11
7.51474e+2	1.44995e+11
7.59261e+2	1.44897e+11
7.67128e+2	1.44786e+11
7.75078e+2	1.44664e+11
7.83109e+2	1.44529e+11
7.91224e+2	1.44381e+11
7.99423e+2	1.44221e+11
8.07707e+2	1.44049e+11
8.16076e+2	1.43864e+11
8.24533e+2	1.43666e+11
8.33077e+2	1.43455e+11
8.41709e+2	1.43231e+11
8.50431e+2	1.42995e+11
8.59244e+2	1.42745e+11
