"Energy (eV)"	"Flux Density (ph/s/mm<sup>2</sup>/0.1%B.W.)"
1.00000e+1	3.31555e+10
1.01036e+1	3.32440e+10
1.02083e+1	3.33312e+10
1.03141e+1	3.34171e+10
1.04210e+1	3.35015e+10
1.05290e+1	3.35845e+10
1.06381e+1	3.36661e+10
1.07483e+1	3.37463e+10
1.08597e+1	3.38249e+10
1.09722e+1	3.39020e+10
1.10859e+1	3.39776e+10
1.12008e+1	3.40516e+10
1.13168e+1	3.41240e+10
1.14341e+1	3.41948e+10
1.15526e+1	3.42639e+10
1.16723e+1	3.43314e+10
1.17933e+1	3.43971e+10
1.19155e+1	3.44611e+10
1.20389e+1	3.45234e+10
1.21637e+1	3.45838e+10
1.22897e+1	3.46425e+10
1.24171e+1	3.46993e+10
1.25458e+1	3.47543e+10
1.26758e+1	3.48074e+10
1.28071e+1	3.48586e+10
1.29398e+1	3.49078e+10
1.30739e+1	3.49551e+10
1.32094e+1	3.50004e+10
1.33463e+1	3.50437e+10
1.34846e+1	3.50850e+10
1.36243e+1	3.51242e+10
1.37655e+1	3.51613e+10
1.39081e+1	3.51963e+10
1.40522e+1	3.52293e+10
1.41978e+1	3.52600e+10
1.43450e+1	3.52886e+10
1.44936e+1	3.53150e+10
1.46438e+1	3.53392e+10
1.47955e+1	3.53612e+10
1.49488e+1	3.53809e+10
1.51038e+1	3.53984e+10
1.52603e+1	3.54136e+10
1.54184e+1	3.54265e+10
1.55782e+1	3.54370e+10
1.57396e+1	3.54452e+10
1.59027e+1	3.54511e+10
1.60675e+1	3.54546e+10
1.62340e+1	3.54557e+10
1.64022e+1	3.54544e+10
1.65722e+1	3.54507e+10
1.67439e+1	3.54445e+10
1.69174e+1	3.54360e+10
1.70927e+1	3.54250e+10
1.72698e+1	3.54115e+10
1.74488e+1	3.53955e+10
1.76296e+1	3.53771e+10
1.78123e+1	3.53562e+10
1.79968e+1	3.53328e+10
1.81833e+1	3.53069e+10
1.83717e+1	3.52785e+10
1.85621e+1	3.52476e+10
1.87545e+1	3.52141e+10
1.89488e+1	3.51782e+10
1.91451e+1	3.51397e+10
1.93435e+1	3.50987e+10
1.95440e+1	3.50552e+10
1.97465e+1	3.50092e+10
1.99511e+1	3.49607e+10
2.01579e+1	3.49097e+10
2.03667e+1	3.48561e+10
2.05778e+1	3.48001e+10
2.07910e+1	3.47416e+10
2.10065e+1	3.46806e+10
2.12241e+1	3.46171e+10
2.14441e+1	3.45512e+10
2.16663e+1	3.44829e+10
2.18908e+1	3.44121e+10
2.21176e+1	3.43389e+10
2.23468e+1	3.42632e+10
2.25784e+1	3.41852e+10
2.28123e+1	3.41049e+10
2.30487e+1	3.40222e+10
2.32876e+1	3.39372e+10
2.35289e+1	3.38498e+10
2.37727e+1	3.37603e+10
2.40190e+1	3.36684e+10
2.42679e+1	3.35743e+10
2.45194e+1	3.34781e+10
2.47735e+1	3.33797e+10
2.50302e+1	3.32791e+10
2.52895e+1	3.31765e+10
2.55516e+1	3.30718e+10
2.58164e+1	3.29650e+10
2.60839e+1	3.28563e+10
2.63542e+1	3.27456e+10
2.66273e+1	3.26330e+10
2.69032e+1	3.25186e+10
2.71820e+1	3.24023e+10
2.74636e+1	3.22842e+10
2.77482e+1	3.21644e+10
2.80357e+1	3.20429e+10
2.83263e+1	3.19197e+10
