fieldmap_name:     	SWLS Sirius
timestamp:         	2022-08-15_16-09-19
filename:          	2022-08-15_SWLS_Sirius_Model8.0_transvshift_X=-10_10mm.txt
MagNet_file:       	SWLS_Sirius_Model8.0_transvshift.mn
nr_magnets:        	1

magnet_name:       	SWLS
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-10	0	0	-6.78177831497322E-02	-6.28498310063361	-1.81982042662788E-04
-9	0	0	-6.44693890297527E-02	-6.29351286278014	1.461325254948E-05
-8	0	0	-6.15931943717119E-02	-6.30102654462709	-1.4575018344403E-04
-7	0	0	-5.91482942594744E-02	-6.30677118666025	-1.05112274022998E-05
-6	0	0	-5.71696163002489E-02	-6.31131054687832	1.20116954689167E-04
-5	0	0	-5.54322001039819E-02	-6.31532174641113	3.07208260214642E-05
-4	0	0	-5.41382822625423E-02	-6.31839771248744	-3.4229523031561E-05
-3	0	0	-5.31076425501807E-02	-6.32056026263478	1.27838249470334E-04
-2	0	0	-5.24059335931704E-02	-6.32247607963278	2.0719882640683E-04
-1	0	0	-5.19142456738425E-02	-6.3231493814078	7.57160356098105E-05
0	0	0	-5.18323557521539E-02	-6.32338974738832	1.10037983721602E-04
1	0	0	-5.19461453993758E-02	-6.32321730269766	1.35185364863202E-04
2	0	0	-5.23868379498374E-02	-6.32240780347987	8.33435282509887E-05
3	0	0	-5.30594551377391E-02	-6.32068280615897	9.7544749323569E-05
4	0	0	-5.40869137392915E-02	-6.31852028205917	2.45216296765417E-04
5	0	0	-5.53843085036309E-02	-6.31544005683132	1.7193302124588E-04
6	0	0	-5.70472129400673E-02	-6.31168413086937	2.69946715427409E-05
7	0	0	-5.90485721019866E-02	-6.30693133203958	2.11085527020673E-04
8	0	0	-6.14761849982933E-02	-6.30126050592927	3.9711341114985E-04
9	0	0	-6.43539575372769E-02	-6.29390929628694	2.25739515748485E-04
10	0	0	-6.76795292597135E-02	-6.2853521123264	4.45850089455487E-04
