# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
4.320000e+02 7.268007e-02 3.084765e-02 5.885539e+08
4.330000e+02 7.262575e-02 3.083161e-02 5.743931e+08
4.340000e+02 7.250711e-02 3.081607e-02 5.606563e+08
4.350000e+02 7.240916e-02 3.080210e-02 5.472861e+08
4.360000e+02 7.235689e-02 3.078781e-02 5.341172e+08
4.370000e+02 7.225779e-02 3.077597e-02 5.213008e+08
4.380000e+02 7.212938e-02 3.076058e-02 5.089114e+08
4.390000e+02 7.209416e-02 3.074936e-02 4.966666e+08
4.400000e+02 7.201097e-02 3.074174e-02 4.846990e+08
4.410000e+02 7.186006e-02 3.072635e-02 4.732058e+08
4.420000e+02 7.181983e-02 3.071741e-02 4.618479e+08
4.430000e+02 7.176847e-02 3.071255e-02 4.506689e+08
4.440000e+02 7.160438e-02 3.069885e-02 4.399745e+08
4.450000e+02 7.153756e-02 3.069103e-02 4.294682e+08
4.460000e+02 7.152120e-02 3.069060e-02 4.190416e+08
4.470000e+02 7.136233e-02 3.067952e-02 4.090586e+08
4.480000e+02 7.126483e-02 3.067260e-02 3.993468e+08
4.490000e+02 7.126460e-02 3.067504e-02 3.896284e+08
4.500000e+02 7.111256e-02 3.066587e-02 3.803401e+08
4.510000e+02 7.101346e-02 3.066376e-02 3.713007e+08
4.520000e+02 7.100505e-02 3.066622e-02 3.622779e+08
4.530000e+02 7.085619e-02 3.065997e-02 3.536386e+08
4.540000e+02 7.077210e-02 3.066258e-02 3.452257e+08
4.550000e+02 7.075983e-02 3.066542e-02 3.368230e+08
4.560000e+02 7.059119e-02 3.066409e-02 3.288113e+08
4.570000e+02 7.052505e-02 3.066806e-02 3.209870e+08
4.580000e+02 7.051710e-02 3.067388e-02 3.131489e+08
4.590000e+02 7.033732e-02 3.067500e-02 3.057353e+08
4.600000e+02 7.029300e-02 3.068362e-02 2.984214e+08
4.610000e+02 7.026096e-02 3.069017e-02 2.911578e+08
4.620000e+02 7.007232e-02 3.069639e-02 2.842781e+08
4.630000e+02 7.008482e-02 3.070807e-02 2.774303e+08
4.640000e+02 6.999214e-02 3.071604e-02 2.706977e+08
4.650000e+02 6.983691e-02 3.072804e-02 2.643291e+08
4.660000e+02 6.985782e-02 3.074133e-02 2.579029e+08
4.670000e+02 6.972963e-02 3.075401e-02 2.517022e+08
4.680000e+02 6.961577e-02 3.076816e-02 2.457544e+08
4.690000e+02 6.964941e-02 3.078664e-02 2.397363e+08
4.700000e+02 6.944349e-02 3.080008e-02 2.340628e+08
4.710000e+02 6.942327e-02 3.082191e-02 2.284557e+08
4.720000e+02 6.939281e-02 3.084100e-02 2.228846e+08
4.730000e+02 6.920577e-02 3.085947e-02 2.176415e+08
4.740000e+02 6.924827e-02 3.088602e-02 2.123517e+08
4.750000e+02 6.909804e-02 3.090666e-02 2.072428e+08
4.760000e+02 6.900190e-02 3.093212e-02 2.023557e+08
4.770000e+02 6.902645e-02 3.096160e-02 1.973759e+08
4.780000e+02 6.882440e-02 3.098562e-02 1.927298e+08
4.790000e+02 6.884144e-02 3.101727e-02 1.880788e+08
4.800000e+02 6.875281e-02 3.104975e-02 1.835095e+08
4.810000e+02 6.860371e-02 3.107743e-02 1.792118e+08
4.820000e+02 6.865712e-02 3.111865e-02 1.747994e+08
4.830000e+02 6.845371e-02 3.114602e-02 1.706645e+08
4.840000e+02 6.846485e-02 3.119065e-02 1.665710e+08
4.850000e+02 6.837939e-02 3.122525e-02 1.625030e+08
4.860000e+02 6.823167e-02 3.126623e-02 1.587069e+08
4.870000e+02 6.829008e-02 3.131316e-02 1.547906e+08
4.880000e+02 6.806098e-02 3.134823e-02 1.511379e+08
4.890000e+02 6.811394e-02 3.140307e-02 1.475040e+08
4.900000e+02 6.799212e-02 3.144674e-02 1.439108e+08
4.910000e+02 6.787303e-02 3.149166e-02 1.405437e+08
4.920000e+02 6.793439e-02 3.155833e-02 1.370613e+08
4.930000e+02 6.767871e-02 3.158783e-02 1.338636e+08
4.940000e+02 6.778462e-02 3.166452e-02 1.305945e+08
4.950000e+02 6.758030e-02 3.170977e-02 1.274646e+08
4.960000e+02 6.755621e-02 3.176742e-02 1.244404e+08
4.970000e+02 6.753689e-02 3.184289e-02 1.213809e+08
4.980000e+02 6.733302e-02 3.188423e-02 1.185556e+08
4.990000e+02 6.744075e-02 3.196956e-02 1.156192e+08
5.000000e+02 6.718325e-02 3.202660e-02 1.129057e+08
