# energy[keV] vert_div_fwhm[mrad] vert_div_rms[mrad] flux[ph/s/0.1%/100mA]
1.070000e+02 1.570810e-01 6.090009e-02 1.227009e+12
1.080000e+02 1.562514e-01 6.062255e-02 1.200500e+12
1.090000e+02 1.554328e-01 6.034864e-02 1.174533e+12
1.100000e+02 1.546269e-01 6.007833e-02 1.149098e+12
1.110000e+02 1.538351e-01 5.981153e-02 1.124185e+12
1.120000e+02 1.530537e-01 5.954815e-02 1.099785e+12
1.130000e+02 1.522832e-01 5.928814e-02 1.075888e+12
1.140000e+02 1.515223e-01 5.903142e-02 1.052484e+12
1.150000e+02 1.507712e-01 5.877791e-02 1.029565e+12
1.160000e+02 1.500296e-01 5.852757e-02 1.007122e+12
1.170000e+02 1.493014e-01 5.828031e-02 9.851441e+11
1.180000e+02 1.485833e-01 5.803608e-02 9.636240e+11
1.190000e+02 1.478742e-01 5.779481e-02 9.425533e+11
1.200000e+02 1.471737e-01 5.755645e-02 9.219232e+11
1.210000e+02 1.464819e-01 5.732095e-02 9.017246e+11
1.220000e+02 1.457987e-01 5.708824e-02 8.819489e+11
1.230000e+02 1.451228e-01 5.685826e-02 8.625891e+11
1.240000e+02 1.444592e-01 5.663096e-02 8.436371e+11
1.250000e+02 1.438049e-01 5.640631e-02 8.250844e+11
1.260000e+02 1.431578e-01 5.618423e-02 8.069230e+11
1.270000e+02 1.425187e-01 5.596469e-02 7.891456e+11
1.280000e+02 1.418869e-01 5.574764e-02 7.717446e+11
1.290000e+02 1.412619e-01 5.553303e-02 7.547128e+11
1.300000e+02 1.406451e-01 5.532083e-02 7.380427e+11
1.310000e+02 1.400337e-01 5.511097e-02 7.217269e+11
1.320000e+02 1.394339e-01 5.490343e-02 7.057585e+11
1.330000e+02 1.388414e-01 5.469815e-02 6.901313e+11
1.340000e+02 1.382558e-01 5.449511e-02 6.748372e+11
1.350000e+02 1.376760e-01 5.429424e-02 6.598706e+11
1.360000e+02 1.371032e-01 5.409555e-02 6.452244e+11
1.370000e+02 1.365362e-01 5.389896e-02 6.308922e+11
1.380000e+02 1.359755e-01 5.370444e-02 6.168677e+11
1.390000e+02 1.354205e-01 5.351197e-02 6.031448e+11
1.400000e+02 1.348724e-01 5.332149e-02 5.897175e+11
1.410000e+02 1.343330e-01 5.313298e-02 5.765796e+11
1.420000e+02 1.338001e-01 5.294642e-02 5.637252e+11
1.430000e+02 1.332726e-01 5.276175e-02 5.511484e+11
1.440000e+02 1.327503e-01 5.257896e-02 5.388434e+11
1.450000e+02 1.322335e-01 5.239800e-02 5.268052e+11
1.460000e+02 1.317221e-01 5.221886e-02 5.150279e+11
1.470000e+02 1.312155e-01 5.204150e-02 5.035060e+11
1.480000e+02 1.307141e-01 5.186587e-02 4.922346e+11
1.490000e+02 1.302171e-01 5.169199e-02 4.812085e+11
1.500000e+02 1.297280e-01 5.151978e-02 4.704225e+11
1.510000e+02 1.292453e-01 5.134926e-02 4.598710e+11
1.520000e+02 1.287671e-01 5.118038e-02 4.495499e+11
1.530000e+02 1.282944e-01 5.101310e-02 4.394538e+11
1.540000e+02 1.278260e-01 5.084743e-02 4.295790e+11
1.550000e+02 1.273619e-01 5.068330e-02 4.199199e+11
1.560000e+02 1.269023e-01 5.052075e-02 4.104727e+11
1.570000e+02 1.264471e-01 5.035967e-02 4.012321e+11
1.580000e+02 1.259957e-01 5.020012e-02 3.921944e+11
1.590000e+02 1.255485e-01 5.004204e-02 3.833556e+11
1.600000e+02 1.251053e-01 4.988537e-02 3.747103e+11
1.610000e+02 1.246696e-01 4.973016e-02 3.662557e+11
1.620000e+02 1.242389e-01 4.957636e-02 3.579875e+11
1.630000e+02 1.238121e-01 4.942393e-02 3.499012e+11
1.640000e+02 1.233894e-01 4.927286e-02 3.419928e+11
1.650000e+02 1.229703e-01 4.912313e-02 3.342595e+11
1.660000e+02 1.225553e-01 4.897474e-02 3.266973e+11
1.670000e+02 1.221432e-01 4.882765e-02 3.193020e+11
1.680000e+02 1.217353e-01 4.868185e-02 3.120701e+11
1.690000e+02 1.213307e-01 4.853731e-02 3.049983e+11
1.700000e+02 1.209296e-01 4.839401e-02 2.980836e+11
1.710000e+02 1.205321e-01 4.825195e-02 2.913223e+11
1.720000e+02 1.201373e-01 4.811111e-02 2.847106e+11
1.730000e+02 1.197487e-01 4.797147e-02 2.782458e+11
1.740000e+02 1.193649e-01 4.783302e-02 2.719250e+11
1.750000e+02 1.189851e-01 4.769573e-02 2.657450e+11
1.760000e+02 1.186076e-01 4.755958e-02 2.597023e+11
1.770000e+02 1.182339e-01 4.742457e-02 2.537939e+11
1.780000e+02 1.178630e-01 4.729067e-02 2.480175e+11
1.790000e+02 1.174953e-01 4.715789e-02 2.423700e+11
1.800000e+02 1.171305e-01 4.702619e-02 2.368487e+11
1.810000e+02 1.167689e-01 4.689556e-02 2.314505e+11
1.820000e+02 1.164096e-01 4.676597e-02 2.261732e+11
1.830000e+02 1.160537e-01 4.663745e-02 2.210138e+11
1.840000e+02 1.157001e-01 4.650995e-02 2.159700e+11
1.850000e+02 1.153498e-01 4.638347e-02 2.110391e+11
1.860000e+02 1.150010e-01 4.625797e-02 2.062187e+11
1.870000e+02 1.146603e-01 4.613350e-02 2.015063e+11
1.880000e+02 1.143212e-01 4.600999e-02 1.968998e+11
1.890000e+02 1.139862e-01 4.588744e-02 1.923967e+11
1.900000e+02 1.136526e-01 4.576583e-02 1.879948e+11
1.910000e+02 1.133219e-01 4.564518e-02 1.836918e+11
1.920000e+02 1.129944e-01 4.552547e-02 1.794855e+11
1.930000e+02 1.126683e-01 4.540665e-02 1.753741e+11
1.940000e+02 1.123455e-01 4.528875e-02 1.713551e+11
1.950000e+02 1.120253e-01 4.517173e-02 1.674268e+11
1.960000e+02 1.117064e-01 4.505561e-02 1.635871e+11
1.970000e+02 1.113903e-01 4.494036e-02 1.598337e+11
1.980000e+02 1.110773e-01 4.482593e-02 1.561650e+11
1.990000e+02 1.107653e-01 4.471239e-02 1.525796e+11
2.000000e+02 1.104557e-01 4.459972e-02 1.490752e+11
2.010000e+02 1.101487e-01 4.448787e-02 1.456497e+11
2.020000e+02 1.098458e-01 4.437682e-02 1.423015e+11
2.030000e+02 1.095471e-01 4.426653e-02 1.390296e+11
2.040000e+02 1.092503e-01 4.415709e-02 1.358315e+11
2.050000e+02 1.089553e-01 4.404845e-02 1.327059e+11
2.060000e+02 1.086630e-01 4.394063e-02 1.296510e+11
2.070000e+02 1.083730e-01 4.383354e-02 1.266655e+11
2.080000e+02 1.080848e-01 4.372724e-02 1.237478e+11
2.090000e+02 1.077989e-01 4.362167e-02 1.208962e+11
2.100000e+02 1.075148e-01 4.351684e-02 1.181093e+11
2.110000e+02 1.072326e-01 4.341275e-02 1.153857e+11
2.120000e+02 1.069523e-01 4.330939e-02 1.127242e+11
2.130000e+02 1.066742e-01 4.320676e-02 1.101233e+11
2.140000e+02 1.063976e-01 4.310484e-02 1.075814e+11
2.150000e+02 1.061230e-01 4.300362e-02 1.050974e+11
2.160000e+02 1.058498e-01 4.290311e-02 1.026699e+11
2.170000e+02 1.055782e-01 4.280327e-02 1.002979e+11
2.180000e+02 1.053089e-01 4.270413e-02 9.797979e+10
2.190000e+02 1.050414e-01 4.260567e-02 9.571454e+10
2.200000e+02 1.047780e-01 4.250787e-02 9.350103e+10
2.210000e+02 1.045171e-01 4.241075e-02 9.133802e+10
2.220000e+02 1.042583e-01 4.231426e-02 8.922436e+10
2.230000e+02 1.040012e-01 4.221840e-02 8.715906e+10
2.240000e+02 1.037458e-01 4.212321e-02 8.514094e+10
2.250000e+02 1.034926e-01 4.202863e-02 8.316896e+10
2.260000e+02 1.032410e-01 4.193469e-02 8.124195e+10
2.270000e+02 1.029905e-01 4.184135e-02 7.935918e+10
2.280000e+02 1.027421e-01 4.174863e-02 7.751954e+10
2.290000e+02 1.024944e-01 4.165652e-02 7.572195e+10
2.300000e+02 1.022478e-01 4.156499e-02 7.396549e+10
2.310000e+02 1.020039e-01 4.147406e-02 7.224925e+10
2.320000e+02 1.017623e-01 4.138374e-02 7.057242e+10
2.330000e+02 1.015212e-01 4.129401e-02 6.893408e+10
2.340000e+02 1.012807e-01 4.120480e-02 6.733336e+10
2.350000e+02 1.010426e-01 4.111619e-02 6.576927e+10
2.360000e+02 1.008062e-01 4.102814e-02 6.424109e+10
2.370000e+02 1.005710e-01 4.094065e-02 6.274814e+10
2.380000e+02 1.003364e-01 4.085370e-02 6.128942e+10
2.390000e+02 1.001037e-01 4.076730e-02 5.986419e+10
2.400000e+02 9.987532e-02 4.068144e-02 5.847172e+10
2.410000e+02 9.964759e-02 4.059612e-02 5.711133e+10
2.420000e+02 9.942213e-02 4.051134e-02 5.578228e+10
2.430000e+02 9.919986e-02 4.042709e-02 5.448377e+10
2.440000e+02 9.897667e-02 4.034332e-02 5.321517e+10
2.450000e+02 9.875531e-02 4.026009e-02 5.197573e+10
2.460000e+02 9.853690e-02 4.017738e-02 5.076490e+10
2.470000e+02 9.831712e-02 4.009513e-02 4.958206e+10
2.480000e+02 9.810098e-02 4.001341e-02 4.842638e+10
2.490000e+02 9.788553e-02 3.993222e-02 4.729737e+10
2.500000e+02 9.767007e-02 3.985145e-02 4.619452e+10
2.510000e+02 9.745780e-02 3.977121e-02 4.511698e+10
2.520000e+02 9.724438e-02 3.969146e-02 4.406438e+10
2.530000e+02 9.703484e-02 3.961216e-02 4.303612e+10
2.540000e+02 9.682483e-02 3.953332e-02 4.203157e+10
2.550000e+02 9.661574e-02 3.945497e-02 4.105023e+10
2.560000e+02 9.640892e-02 3.937708e-02 4.009159e+10
2.570000e+02 9.620187e-02 3.929964e-02 3.915511e+10
2.580000e+02 9.599801e-02 3.922268e-02 3.824032e+10
2.590000e+02 9.579255e-02 3.914613e-02 3.734666e+10
2.600000e+02 9.559119e-02 3.907005e-02 3.647367e+10
2.610000e+02 9.538778e-02 3.899435e-02 3.562101e+10
2.620000e+02 9.518823e-02 3.891918e-02 3.478798e+10
2.630000e+02 9.498691e-02 3.884437e-02 3.397431e+10
2.640000e+02 9.479259e-02 3.877003e-02 3.317933e+10
2.650000e+02 9.459736e-02 3.869608e-02 3.240298e+10
2.660000e+02 9.440463e-02 3.862260e-02 3.164455e+10
2.670000e+02 9.421327e-02 3.854949e-02 3.090377e+10
2.680000e+02 9.402076e-02 3.847678e-02 3.018007e+10
2.690000e+02 9.383258e-02 3.840452e-02 2.947321e+10
2.700000e+02 9.364076e-02 3.833261e-02 2.878282e+10
2.710000e+02 9.345462e-02 3.826115e-02 2.810837e+10
2.720000e+02 9.326644e-02 3.819008e-02 2.744966e+10
2.730000e+02 9.308053e-02 3.811943e-02 2.680617e+10
2.740000e+02 9.289644e-02 3.804918e-02 2.617771e+10
2.750000e+02 9.271121e-02 3.797926e-02 2.556379e+10
2.760000e+02 9.252961e-02 3.790978e-02 2.496419e+10
2.770000e+02 9.234666e-02 3.784068e-02 2.437850e+10
2.780000e+02 9.216461e-02 3.777196e-02 2.380645e+10
2.790000e+02 9.198665e-02 3.770357e-02 2.324771e+10
2.800000e+02 9.180552e-02 3.763559e-02 2.270196e+10
2.810000e+02 9.162711e-02 3.756799e-02 2.216897e+10
2.820000e+02 9.145051e-02 3.750076e-02 2.164836e+10
2.830000e+02 9.127233e-02 3.743384e-02 2.113988e+10
2.840000e+02 9.109642e-02 3.736727e-02 2.064329e+10
2.850000e+02 9.092278e-02 3.730114e-02 2.015818e+10
2.860000e+02 9.074755e-02 3.723531e-02 1.968452e+10
2.870000e+02 9.057346e-02 3.716985e-02 1.922172e+10
2.880000e+02 9.040278e-02 3.710469e-02 1.876986e+10
2.890000e+02 9.023141e-02 3.703997e-02 1.832840e+10
2.900000e+02 9.005891e-02 3.697554e-02 1.789738e+10
2.910000e+02 8.989032e-02 3.691142e-02 1.747635e+10
2.920000e+02 8.972622e-02 3.684764e-02 1.706513e+10
2.930000e+02 8.955918e-02 3.678421e-02 1.666355e+10
2.940000e+02 8.939327e-02 3.672114e-02 1.627133e+10
2.950000e+02 8.923008e-02 3.665845e-02 1.588833e+10
2.960000e+02 8.906895e-02 3.659604e-02 1.551413e+10
2.970000e+02 8.890735e-02 3.653390e-02 1.514887e+10
2.980000e+02 8.874508e-02 3.647211e-02 1.479194e+10
2.990000e+02 8.858349e-02 3.641067e-02 1.444358e+10
3.000000e+02 8.842417e-02 3.634953e-02 1.410321e+10
3.010000e+02 8.826394e-02 3.628867e-02 1.377094e+10
3.020000e+02 8.810712e-02 3.622821e-02 1.344624e+10
3.030000e+02 8.795098e-02 3.616799e-02 1.312927e+10
3.040000e+02 8.779462e-02 3.610814e-02 1.281970e+10
3.050000e+02 8.763757e-02 3.604859e-02 1.251735e+10
3.060000e+02 8.748098e-02 3.598930e-02 1.222217e+10
3.070000e+02 8.732575e-02 3.593028e-02 1.193382e+10
3.080000e+02 8.717416e-02 3.587165e-02 1.165229e+10
3.090000e+02 8.702097e-02 3.581328e-02 1.137726e+10
3.100000e+02 8.686756e-02 3.575524e-02 1.110877e+10
3.110000e+02 8.671574e-02 3.569750e-02 1.084649e+10
