fieldmap_name:     	SWLS Sirius
timestamp:         	2022-08-05_13-45-04
filename:          	2022-08-05_SWLS_Sirius_Model8.0_Currents_X=-10_10mm_Z=-600_600mm_I=10A.txt
MagNet_file:       	SWLS_Sirius_Model8.0_Currents.mn
nr_magnets:        	1

magnet_name:       	SWLS
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-10	0	0	-2.26056795611194E-18	-1.15899155979519	5.7609276346356E-17
-9	0	0	0	-1.16191257906784	0
-8	0	0	0	-1.16447970712862	0
-7	0	0	0	-1.16671262198066	0
-6	0	0	0	-1.16863057865244	0
-5	0	0	0	-1.17021595234175	0
-4	0	0	0	-1.17147337481167	0
-3	0	0	0	-1.17242140785933	0
-2	0	0	0	-1.17308274207062	0
-1	0	0	0	-1.17347331653188	0
0	0	0	0	-1.17361030236846	0
1	0	0	0	-1.17349757586148	0
2	0	0	0	-1.17312481836255	0
3	0	0	0	-1.17248243000717	0
4	0	0	0	-1.17151786780538	0
5	0	0	0	-1.17023367217949	0
6	0	0	0	-1.16859675792649	0
7	0	0	0	-1.16665402501807	0
8	0	0	1.2713345029272E-19	-1.16441645898723	-6.31249761210397E-17
9	0	0	-1.26103041006441E-16	-1.16185185121791	-1.78567290146013E-21
10	0	0	1.39222444606038E-18	-1.15894676738323	1.67675106053695E-17
