fieldmap_name:     	SWLS Sirius
timestamp:         	2022-08-15_15-57-20
filename:          	2022-08-15_SWLS_Sirius_Model8.0_dcc+0.2mm_X=-10_10mm_Z=-600_600mm.txt
MagNet_file:       	SWLS_Sirius_Model8.0_dcc+0.2mm.mn
nr_magnets:        	1

magnet_name:       	SWLS
gap[mm]:           	
control_gap[mm]:   	--
magnet_length[mm]: 	
current_main[A]:   	--
NI_main[A.esp]:    	--
center_pos_z[mm]:  	0
center_pos_x[mm]:  	0
rotation[deg]:     	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
------------------------------------------------------------------------------------------------------------------------------------------------------------------
-10	0	-600	0	-1.83073029184184E-03	0
-9	0	-600	0	-1.83077089954403E-03	0
-8	0	-600	0	-1.8308072402927E-03	0
-7	0	-600	0	-1.83083931408786E-03	0
-6	0	-600	0	-1.8308671209295E-03	0
-5	0	-600	0	-1.83089066081763E-03	0
-4	0	-600	0	-1.83090993375224E-03	0
-3	0	-600	0	-1.83092493973334E-03	0
-2	0	-600	0	-1.83093567876091E-03	0
-1	0	-600	0	-1.83094215083498E-03	0
0	0	-600	0	-1.83094435595552E-03	0
1	0	-600	0	-1.83094229412256E-03	0
2	0	-600	0	-1.83093596533607E-03	0
3	0	-600	0	-1.83092536959607E-03	0
4	0	-600	0	-1.83091050690256E-03	0
5	0	-600	0	-1.83089137725552E-03	0
6	0	-600	0	-1.83086798065497E-03	0
7	0	-600	0	-1.83084031710091E-03	0
8	0	-600	0	-1.83080838659333E-03	0
9	0	-600	0	-1.83077218913223E-03	0
10	0	-600	0	-1.83073172471762E-03	0
-10	0	-599	0	-1.83076072693191E-03	0
-9	0	-599	0	-1.83080127043624E-03	0
-8	0	-599	0	-1.83083754698705E-03	0
-7	0	-599	0	-1.83086955658435E-03	0
-6	0	-599	0	-1.83089729922813E-03	0
-5	0	-599	0	-1.83092077491839E-03	0
-4	0	-599	0	-1.83093998365514E-03	0
-3	0	-599	0	-1.83095492543837E-03	0
-2	0	-599	0	-1.83096560026809E-03	0
-1	0	-599	0	-1.83097200814429E-03	0
0	0	-599	0	-1.83097414906697E-03	0
1	0	-599	0	-1.83097202303614E-03	0
2	0	-599	0	-1.83096563005179E-03	0
3	0	-599	0	-1.83095497011393E-03	0
