n	Bn (PID 1)	An (PID 1)	
0	+6.3213135e+0	+9.2714007e-18	
1	-1.5265573e-1	-2.1466343e-14	
2	-2.9106193e+2	-1.0229510e-11	
3	-5.9312195e+3	+7.0391790e-9	
4	-1.2805588e+6	+1.7324074e-6	
5	+6.9809988e+8	-6.3816508e-4	
6	-3.2660136e+10	-1.0231809e-1	
7	-2.1143020e+13	+2.4198269e+1	
8	+1.6083729e+15	+2.6191014e+3	
9	+2.9693503e+17	-4.4055452e+5	
10	-2.7083377e+19	-3.0059112e+7	
11	-2.0246179e+21	+3.8591313e+9	
12	+2.0409633e+23	+1.3586928e+11	
13	+5.4287450e+24	-1.3067040e+13	
14	-5.8381436e+26	-1.1526455e+14	
